x,y
-92.5619,-10.4596
-92.9777,-10.4621
-93.3935,-10.4646
-93.8094,-10.467
-94.0055,-10.4692
-94.444,-10.4207
-94.6401,-10.4229
-95.0786,-10.3744
-95.517,-10.326
-95.9555,-10.2775
-96.4421,-10.2262
-97.3264,-10.1917
-97.7695,-10.1994
-98.2126,-10.2071
-98.8546,-10.2232
-99.0988,-10.2225
-99.5705,-10.2026
-100.042,-10.1826
-100.514,-10.1626
-100.986,-10.1426
-101.457,-10.1226
-101.678,-10.1058
-102.172,-10.0924
-102.415,-10.082
-102.902,-10.0375
-103.39,-9.99296
-103.878,-9.94843
-104.365,-9.90389
-104.872,-9.84913
-105.652,-9.7853
-106.188,-9.7557
-106.724,-9.7261
-107.26,-9.6965
-107.796,-9.6669
-108.483,-9.67189
-108.895,-9.68595
-109.308,-9.70001
-109.72,-9.71407
-110.133,-9.72813
-110.546,-9.74219
-110.745,-9.74138
-110.944,-9.74057
-111.418,-9.72423
-111.891,-9.70789
-112.09,-9.70708
-112.564,-9.69074
-113.038,-9.65472
-113.513,-9.6187
-113.712,-9.59822
-114.187,-9.5622
-114.386,-9.54171
-114.586,-9.52122
-114.991,-9.40611
-115.397,-9.291
-115.803,-9.1759
-116.395,-9.00515
-116.801,-8.89004
-117.02,-8.83057
-117.205,-8.74524
-117.391,-8.65992
-117.729,-8.45631
-118.066,-8.2527
-118.404,-8.04909
-118.742,-7.84549
-119.079,-7.60284
-119.417,-7.36019
-119.601,-7.23583
-119.786,-7.11146
-119.97,-6.98709
-120.274,-6.68389
-120.485,-6.30204
-120.696,-5.92018
-120.907,-5.53832
-121.118,-5.15647
-121.329,-4.77461
-121.42,-4.5716
-121.471,-4.30969
-121.521,-4.04779
-121.571,-3.78589
-121.679,-3.10594
-121.757,-2.63502
-121.836,-2.16409
-121.897,-1.72695
-121.958,-1.2898
-121.99,-1.06168
-122.022,-0.833553
-122.054,-0.60543
-122.087,-0.377308
-121.913,0.0951838
-121.674,0.782729
-121.501,1.25522
-121.327,1.72771
-121.154,2.2002
-121.046,2.45764
-120.89,2.69072
-120.734,2.9238
-120.578,3.15688
-120.128,3.65769
-119.825,4.02464
-119.522,4.39158
-118.849,4.93807
-118.469,5.21684
-117.97,5.61867
-117.47,6.0205
-117.211,6.17619
-116.952,6.33188
-116.678,6.4075
-116.405,6.48312
-115.965,6.59304
-106.311,5.06409
-105.614,4.69344
-104.917,4.32279
-103.922,3.76066
-103.854,3.69319
-103.403,3.28803
-102.656,2.85547
-101.909,2.4229
-100.952,1.86882
-100.335,1.52875
-99.9906,1.26561
-99.6465,1.00247
-99.3025,0.739336
-98.9584,0.476196
-98.662,0.257152
-98.3656,0.0381066
-97.7888,-0.195948
-97.375,-0.35258
-96.9612,-0.509211
-96.5249,-0.704325
-96.0887,-0.89944
-95.6525,-1.09455
-95.2248,-1.30473
-94.7971,-1.5149
-94.3694,-1.72507
-91.764,-2.3221
-86.922,-3.78667
-86.1101,-3.82206
-85.8923,-3.75405
-85.6746,-3.68604
-84.8627,-3.72143
-83.3951,-3.51103
-83.0398,-3.3334
-82.9031,-3.23769
-82.5479,-3.06006
-82.1926,-2.88243
-81.7671,-2.66896
-81.6304,-2.57325
-81.1187,-2.43426
-80.607,-2.29526
-80.3841,-2.27403
-79.8724,-2.13503
-79.3607,-1.99604
-79.1378,-1.9748
-78.4157,-1.69573
-77.9825,-1.53442
-77.5492,-1.3731
-77.116,-1.21179
-76.6827,-1.05048
-76.2495,-0.889168
-76.0071,-0.818377
-75.5373,-0.688932
-75.0676,-0.559486
-74.5978,-0.43004
-73.9007,-0.24194
-73.1759,0.00547666
-72.6881,0.211615
-72.2004,0.417752
-71.7126,0.62389
-71.48,0.712058
-70.9922,0.918195
-70.5045,1.12433
-70.2377,1.20021
-69.9709,1.27608
-69.7041,1.35195
-69.4373,1.42783
-69.0428,1.47667
-68.5206,1.49847
-67.574,1.43939
-67.2063,1.45596
-66.8386,1.47252
-66.4709,1.48909
-66.299,1.5002
-65.9313,1.51677
-65.5718,1.52665
-65.2124,1.53652
-64.8529,1.5464
-64.4935,1.55628
-64.1341,1.56616
-63.9665,1.57261
-63.4573,1.57565
-62.9656,1.55354
-62.2995,1.50972
-61.6334,1.46589
-61.1417,1.44379
-60.8244,1.4434
-59.8649,1.10257
-58.9053,0.761744
-57.9457,0.420917
-56.9862,0.080089
-56.0266,-0.260739
-55.067,-0.601566
-54.7554,-0.817934
-54.4437,-1.0343
-54.1321,-1.25067
-53.8204,-1.46703
-53.5088,-1.6834
-52.963,-1.98647
-52.4717,-2.1065
-51.9803,-2.22653
-51.489,-2.34657
-50.9977,-2.4666
-49.9789,-2.63335
-49.37,-2.69782
-48.791,-2.7532
-48.3878,-2.793
-47.9847,-2.83281
-47.5815,-2.87261
-46.7478,-2.85207
-46.312,-2.84026
-45.8827,-2.70154
-45.4534,-2.56281
-45.0241,-2.42409
-44.197,-2.09091
-43.8667,-1.94335
-43.4038,-1.73097
-43.1991,-1.65019
-42.8422,-1.50695
-42.3333,-1.30127
-41.9765,-1.15803
-41.4676,-0.952349
-41.2629,-0.871563
-40.8094,-0.730512
-40.356,-0.589462
-39.7017,-0.381651
-39.2483,-0.240601
-38.6049,-0.0216851
-38.1623,0.130469
-37.7135,0.265811
-37.0747,0.479018
-36.6259,0.61436
-36.3669,0.671835
-36.108,0.729311
-35.849,0.786787
-35.3455,0.806092
-35.1546,0.829661
-34.6511,0.848966
-34.1475,0.868271
-33.9567,0.891841
-33.4531,0.911146
-33.2938,0.899128
-32.8218,0.882846
-32.6625,0.870829
-32.1905,0.854547
-31.7252,0.851769
-31.5659,0.839752
-31.0468,0.843988
-30.8338,0.838985
-30.3148,0.843222
-29.7957,0.847458
-29.2767,0.851695
-29.0637,0.846692
-28.4732,0.860799
-27.9496,0.848241
-27.426,0.835684
-26.9024,0.823126
-26.3788,0.810569
-25.8552,0.798011
-25.0927,0.773631
-24.5694,0.766676
-24.046,0.759721
-23.5227,0.752766
-22.9993,0.74581
-22.476,0.738855
-22.1648,0.714409
-21.5437,0.661508
-20.9226,0.608607
-20.3015,0.555706
-19.6805,0.502805
-19.0594,0.449904
-18.2528,0.418319
-17.756,0.41519
-17.0379,0.421597
-16.5411,0.418468
-16.0444,0.415339
-15.5075,0.398728
-15.0163,0.382936
-14.5252,0.367144
-14.2954,0.355297
-13.8042,0.339505
-13.313,0.323713
-12.8219,0.307921
-12.5671,0.304408
-12.0638,0.276699
-11.5604,0.24899
-10.8085,0.197085
-10.3052,0.169376
-9.51483,0.157699
-8.9459,0.162895
-8.37697,0.168091
-7.80804,0.173287
-7.23911,0.178484
-6.67018,0.18368
-6.38826,0.172843
-5.79611,0.182057
-5.20397,0.191271
-4.61182,0.200486
-4.01968,0.2097
-3.42753,0.218914
-2.83539,0.228128
0.561952,0.0301217
